src_host,dst_host,avg_rtt_ms,packet_loss_pct
h1,h2,102.564,0
h1,h3,104.307,0
h1,h4,105.382,0
h1,h5,112.516,0
h1,h6,96.068,0
h1,h7,97.310,0
h1,h8,97.220,0
h1,h9,98.230,0
h1,h10,100.860,0
h1,h11,107.264,0
h1,h12,114.212,0
h1,h13,97.038,0
h1,h14,107.901,0
h1,h15,99.093,0
h1,h16,103.971,0
h1,h17,104.966,0
h1,h18,101.611,0
h1,h19,100.187,0
h1,h20,102.059,0
h1,h21,106.946,0
h1,h22,101.868,0
h1,h23,105.594,0
h1,h24,102.258,0
h1,h25,101.140,0
h1,h26,98.188,0
h1,h27,104.663,0
h1,h28,104.821,0
h1,h29,108.899,0
h1,h30,111.301,0
h1,h31,96.628,0
h1,h32,109.580,0
h1,h33,113.713,0
h1,h34,105.129,0
h1,h35,103.510,0
h1,h36,98.451,0
h1,h37,96.824,0
h1,h38,98.983,0
h1,h39,102.881,0
h1,h2,100.029,0
h1,h3,102.670,0
h1,h4,102.672,0
h1,h5,89.471,0
h1,h6,104.332,0
h1,h7,100.021,0
h1,h8,100.356,0
h1,h9,99.854,0
h1,h10,94.664,0
h1,h11,96.971,0
h1,h12,93.795,0
h1,h13,100.390,0
h1,h14,96.963,0
h1,h15,98.798,0
h1,h16,96.414,0
h1,h17,92.098,0
h1,h18,92.601,0
h1,h19,101.363,0
h1,h20,97.993,0
h1,h21,105.638,0
h1,h22,97.204,0
h1,h23,97.884,0
h1,h24,98.003,0
h1,h25,96.539,0
h1,h26,94.204,0
h1,h27,107.852,0
h1,h28,98.171,0
h1,h29,102.540,0
h1,h30,91.346,0
h1,h31,97.590,0
h1,h32,98.869,0
h1,h33,94.299,0
h1,h34,99.000,0
h1,h35,90.423,0
h1,h36,97.601,0
h1,h37,100.869,0
h1,h38,96.985,0
h1,h39,93.621,0
h1,h2,96.457,0
h1,h3,108.175,0
h1,h4,104.301,0
h1,h5,98.793,0
h1,h6,96.983,0
h1,h7,94.595,0
h1,h8,91.099,0
h1,h9,94.139,0
h1,h10,93.226,0
h1,h11,94.530,0
h1,h12,95.624,0
h1,h13,93.076,0
h1,h14,94.042,0
h1,h15,100.170,0
h1,h16,99.890,0
h1,h17,96.018,0
h1,h18,96.807,0
h1,h19,90.376,0
h1,h20,94.448,0
h1,h21,95.253,0
h1,h22,94.213,0
h1,h23,92.181,0
h1,h24,93.797,0
h1,h25,89.795,0
h1,h26,93.657,0
h1,h27,92.471,0
h1,h28,91.643,0
h1,h29,92.165,0
h1,h30,88.831,0
h1,h31,97.583,0
h1,h32,91.253,0
h1,h33,98.799,0
h1,h34,101.619,0
h1,h35,96.211,0
h1,h36,96.194,0
h1,h37,95.349,0
h1,h38,91.096,0
h1,h39,95.243,0
h1,h2,94.894,0
h1,h3,93.710,0
h1,h4,100.981,0
h1,h5,107.372,0
h1,h6,117.256,0
h1,h7,113.786,0
h1,h8,123.225,0
h1,h9,134.927,0
h1,h10,106.318,0
h1,h11,100.718,0
h1,h12,107.868,0
h1,h13,108.311,0
h1,h14,97.042,0
h1,h15,105.413,0
h1,h16,101.894,0
h1,h17,99.071,0
h1,h18,98.308,0
h1,h19,94.859,0
h1,h20,109.987,0
h1,h21,96.200,0
h1,h22,105.117,0
h1,h23,100.487,0
h1,h24,110.467,0
h1,h25,114.574,0
h1,h26,127.062,0
h1,h27,108.827,0
h1,h28,102.334,0
h1,h29,105.686,0
h1,h30,107.763,0
h1,h31,97.251,0
h1,h32,108.976,0
h1,h33,104.948,0
h1,h34,114.869,0
h1,h35,101.785,0
h1,h36,112.311,0
h1,h37,99.321,0
h1,h38,99.771,0
h1,h39,104.514,0
h1,h2,99.660,0
h1,h3,97.178,0
h1,h4,99.545,0
h1,h5,105.032,0
h1,h6,102.802,0
h1,h7,102.513,0
h1,h8,93.727,0
h1,h9,95.812,0
h1,h10,102.831,0
h1,h11,97.418,0
h1,h12,90.000,0
h1,h13,98.176,0
h1,h14,100.360,0
h1,h15,97.955,0
h1,h16,96.699,0
h1,h17,94.502,0
h1,h18,91.691,0
h1,h19,114.613,0
h1,h20,107.074,0
h1,h21,101.276,0
h1,h22,99.947,0
h1,h23,103.752,0
h1,h24,113.585,0
h1,h25,104.671,0
h1,h26,90.171,0
h1,h27,102.039,0
h1,h28,99.982,0
h1,h29,96.076,0
h1,h30,154.347,0
h1,h31,99.989,0
h1,h32,98.421,0
h1,h33,102.246,0
h1,h34,95.211,0
h1,h35,98.324,0
h1,h36,100.218,0
h1,h37,99.881,0
h1,h38,101.509,0
h1,h39,100.222,0
h1,h2,94.930,0
h1,h3,92.018,0
h1,h4,99.038,0
h1,h5,95.856,0
h1,h6,90.955,0
h1,h7,98.702,0
h1,h8,105.623,0
h1,h9,96.698,0
h1,h10,101.599,0
h1,h11,96.574,0
h1,h12,101.295,0
h1,h13,94.798,0
h1,h14,94.934,0
h1,h15,99.182,0
h1,h16,96.084,0
h1,h17,93.404,0
h1,h18,98.479,0
h1,h19,99.823,0
h1,h20,91.357,0
h1,h21,97.543,0
h1,h22,101.406,0
h1,h23,108.634,0
h1,h24,95.527,0
h1,h25,110.320,0
h1,h26,107.780,0
h1,h27,100.547,0
h1,h28,95.564,0
h1,h29,100.711,0
h1,h30,103.794,0
h1,h31,100.548,0
h1,h32,93.918,0
h1,h33,100.144,0
h1,h34,92.610,0
h1,h35,101.327,0
h1,h36,107.291,0
h1,h37,99.000,0
h1,h38,99.875,0
h1,h39,103.019,0
h1,h2,97.685,0
h1,h3,105.931,0
h1,h4,99.801,0
h1,h5,94.665,0
h1,h6,97.546,0
h1,h7,102.378,0
h1,h8,99.116,0
h1,h9,95.327,0
h1,h10,98.815,0
h1,h11,98.084,0
h1,h12,94.239,0
h1,h13,102.474,0
h1,h14,96.404,0
h1,h15,96.276,0
h1,h16,98.544,0
h1,h17,104.956,0
h1,h18,96.332,0
h1,h19,92.987,0
h1,h20,98.983,0
h1,h21,90.707,0
h1,h22,97.698,0
h1,h23,101.035,0
h1,h24,102.757,0
h1,h25,97.180,0
h1,h26,93.360,0
h1,h27,97.286,0
h1,h28,93.762,0
h1,h29,95.236,0
h1,h30,145.435,0
h1,h31,121.794,0
h1,h32,118.135,0
h1,h33,157.658,0
h1,h34,103.660,0
h1,h35,97.661,0
h1,h36,116.952,0
h1,h37,100.157,0
h1,h38,103.493,0
h1,h39,103.834,0
h1,h2,102.702,0
h1,h3,114.355,0
h1,h4,116.456,0
h1,h5,111.028,0
h1,h6,105.918,0
h1,h7,94.652,0
h1,h8,109.112,0
h1,h9,98.739,0
h1,h10,102.071,0
h1,h11,91.782,0
h1,h12,107.987,0
h1,h13,94.694,0
h1,h14,109.204,0
h1,h15,96.543,0
h1,h16,107.170,0
h1,h17,104.179,0
h1,h18,105.001,0
h1,h19,97.469,0
h1,h20,103.820,0
h1,h21,99.905,0
h1,h22,97.024,0
h1,h23,100.904,0
h1,h24,109.126,0
h1,h25,99.641,0
h1,h26,91.286,0
h1,h27,100.346,0
h1,h28,91.322,0
h1,h29,93.505,0
h1,h30,92.887,0
h1,h31,105.300,0
h1,h32,93.248,0
h1,h33,110.050,0
h1,h34,95.934,0
h1,h35,101.111,0
h1,h36,102.938,0
h1,h37,107.590,0
h1,h38,100.367,0
h1,h39,101.510,0
h1,h2,96.044,0
h1,h3,101.428,0
h1,h4,97.254,0
h1,h5,104.101,0
h1,h6,99.693,0
h1,h7,98.666,0
h1,h8,121.520,0
h1,h9,95.779,0
h1,h10,98.260,0
